storyid,sentence1,sentence2,sentence3,sentence4,sentence5,label
3f076ec0-6985-418d-bb75-45b437aceca0-c,"Ari spends $20 a day on pickles. —— HasPrerequisite: buy jar of peanut butter, buy jar of peanut, have jar —— Causes: you get fat, you get sunburn, headache.","He decides to make his own to save money. —— HasPrerequisite: go to work, make decision, make choice —— Causes: happiness, unhappiness, poverty.","He puts the pickles in brine. —— HasPrerequisite: salt, vinegar, water —— Causes: it get wet, it get cold, it to get wet.","Ari waits 2 weeks for his pickles to get sour. —— HasPrerequisite: open jar, open jar of dill, get some pickle —— Causes: eat too much, you will eat them, eat too much food.","Ari opens the jar to find perfect pickles. —— HasPrerequisite: open jar, have jar, use jar —— Causes: you get indigestion, eat them, jelly.",1
3f076ec0-6985-418d-bb75-45b437aceca0-c,"Ari spends $20 a day on pickles. —— HasPrerequisite: buy jar of peanut butter, buy jar of peanut, have jar —— Causes: you get fat, you get sunburn, headache.","He decides to make his own to save money. —— HasPrerequisite: go to work, make decision, make choice —— Causes: happiness, unhappiness, poverty.","He puts the pickles in brine. —— HasPrerequisite: salt, vinegar, water —— Causes: it get wet, it get cold, it to get wet.","Ari waits 2 weeks for his pickles to get sour. —— HasPrerequisite: open jar, open jar of dill, get some pickle —— Causes: eat too much, you will eat them, eat too much food.","Ari opens the jar to find perfect pickles. —— HasPrerequisite: open jar, have jar, use jar —— Causes: you get indigestion, eat them, jelly.",0
43ff94c9-d83c-4ac5-bb44-d91f808c1e61-c,"Feliciano went olive picking with his grandmother. —— HasPrerequisite: go to italy, eat olive, get garlic —— Causes: death, cancer, you get cancer.","While they picked, she told him stories of his ancestors. —— HasPrerequisite: knowledge of past, knowledge of history, knowledge —— Causes: generation to die, legend, death.","Before he realized it, the sun was going down. —— HasPrerequisite: get out of bed, light, energy —— Causes: it become red, it to turn red, it to become red.","They took the olives home and ate them together. —— HasPrerequisite: go to store, clean them, vacuum —— Causes: they burn them, they be sad, sadness.","The pair then went out to pick olives. —— HasPrerequisite: pick olive, pick up olive, lettuce —— Causes: indigestion, salad, eat.",0
43ff94c9-d83c-4ac5-bb44-d91f808c1e61-c,"Feliciano went olive picking with his grandmother. —— HasPrerequisite: go to italy, eat olive, get garlic —— Causes: death, cancer, you get cancer.","While they picked, she told him stories of his ancestors. —— HasPrerequisite: knowledge of past, knowledge of history, knowledge —— Causes: generation to die, legend, death.","Before he realized it, the sun was going down. —— HasPrerequisite: get out of bed, light, energy —— Causes: it become red, it to turn red, it to become red.","They took the olives home and ate them together. —— HasPrerequisite: go to store, clean them, vacuum —— Causes: they burn them, they be sad, sadness.","The pair then went out to pick olives. —— HasPrerequisite: pick olive, pick up olive, lettuce —— Causes: indigestion, salad, eat.",1
d9dde843-ee66-4dca-820a-c3d489ba586f-c,"Oliver was nervous about his wedding. —— HasPrerequisite: get dress, dress in formal attire, dress up —— Causes: nervous breakdown, stress, anxiety.","He was worried that he would stutter during the vows. —— HasPrerequisite: talk to another person, talk to his wife, read them —— Causes: stress, you get marry, get marry.","When the time came, he took a deep breath and began to speak. —— HasPrerequisite: exhale, prepare yourself, lung —— Causes: his chest to expand, his chest to rise and fall, air to enter his body.","He stuttered, but his wife smiled and hugged him and he was okay. —— HasPrerequisite: use your hand, use your finger, have money —— Causes: stutter, get drunk, he stutter.","Oliver decided to not get married. —— HasPrerequisite: go to bookstore, study lot, study —— Causes: you get hurt, you would be happy, death.",0
d9dde843-ee66-4dca-820a-c3d489ba586f-c,"Oliver was nervous about his wedding. —— HasPrerequisite: get dress, dress in formal attire, dress up —— Causes: nervous breakdown, stress, anxiety.","He was worried that he would stutter during the vows. —— HasPrerequisite: talk to another person, talk to his wife, read them —— Causes: stress, you get marry, get marry.","When the time came, he took a deep breath and began to speak. —— HasPrerequisite: exhale, prepare yourself, lung —— Causes: his chest to expand, his chest to rise and fall, air to enter his body.","He stuttered, but his wife smiled and hugged him and he was okay. —— HasPrerequisite: use your hand, use your finger, have money —— Causes: stutter, get drunk, he stutter.","Oliver decided to not get married. —— HasPrerequisite: go to bookstore, study lot, study —— Causes: you get hurt, you would be happy, death.",1
a37be14a-7724-464c-8344-87624fafaa34-c,"Kelly was playing her new Mario game. —— HasPrerequisite: buy ticket to game, buy ticket, join team —— Causes: cheer, you will be entertain, laughter.","She had been playing it for weeks. —— HasPrerequisite: time, call in sick, call her friend —— Causes: you to be tire, you to be bore, you to get bore.","She was playing for so long without beating the level. —— HasPrerequisite: play well, have lot of experience, play hard —— Causes: win, win game, popularity.","Finally she beat the last level. —— HasPrerequisite: win, beat last, win game —— Causes: win, victory, defeat.","Kelly was mad about that. —— HasPrerequisite: go to movie, get drunk, get gun —— Causes: fight, argument, fire.",0
a37be14a-7724-464c-8344-87624fafaa34-c,"Kelly was playing her new Mario game. —— HasPrerequisite: buy ticket to game, buy ticket, join team —— Causes: cheer, you will be entertain, laughter.","She had been playing it for weeks. —— HasPrerequisite: time, call in sick, call her friend —— Causes: you to be tire, you to be bore, you to get bore.","She was playing for so long without beating the level. —— HasPrerequisite: play well, have lot of experience, play hard —— Causes: win, win game, popularity.","Finally she beat the last level. —— HasPrerequisite: win, beat last, win game —— Causes: win, victory, defeat.","Kelly was mad about that. —— HasPrerequisite: go to movie, get drunk, get gun —— Causes: fight, argument, fire.",1
87aa1560-0c24-4a6d-8507-6ae058e4422a-c,"My roommate is from Germany. —— HasPrerequisite: study german, go to university, go to school —— Causes: you learn german, you have to study german, you have to study.","He is a very good cook. —— HasPrerequisite: have money, get some money, be in love —— Causes: you feel sad, you will be happy, get hurt.","One day, he made some sausage for me that he ate back home in Germany. —— HasPrerequisite: study german, get visa, passport —— Causes: war, germany to be invade, germany to become germany.","The sausage turned out poorly, according to him. —— HasPrerequisite: eat it, cook, eat —— Causes: eat it, he will not eat meat, he will eat it.","I thought the cereal was delicious. —— HasPrerequisite: buy some cereal, have tooth, buy cereal —— Causes: you eat it, indigestion, eat it.",0
87aa1560-0c24-4a6d-8507-6ae058e4422a-c,"My roommate is from Germany. —— HasPrerequisite: study german, go to university, go to school —— Causes: you learn german, you have to study german, you have to study.","He is a very good cook. —— HasPrerequisite: have money, get some money, be in love —— Causes: you feel sad, you will be happy, get hurt.","One day, he made some sausage for me that he ate back home in Germany. —— HasPrerequisite: study german, get visa, passport —— Causes: war, germany to be invade, germany to become germany.","The sausage turned out poorly, according to him. —— HasPrerequisite: eat it, cook, eat —— Causes: eat it, he will not eat meat, he will eat it.","I thought the cereal was delicious. —— HasPrerequisite: buy some cereal, have tooth, buy cereal —— Causes: you eat it, indigestion, eat it.",1
a0769cd4-45a0-492c-a566-b14b9b17cba6-c,"Ivy wanted a cell phone like all her friends. —— HasPrerequisite: have friend, find them, find friend —— Causes: you feel lonely, you feel good, friendship.","She saved up her money from delivering papers. —— HasPrerequisite: write them down, read them, use computer —— Causes: get publish, you will be publish, you get publish.","Soon she had enough for a phone. —— HasPrerequisite: dial number, dial phone number, call friend —— Causes: dial number, call someone, call friend.","She went shopping and selected the perfect phone. —— HasPrerequisite: get phone number, use phone, have ear —— Causes: dial number, phone call, call her mother.","Amy spent all of her money on clothes. —— HasPrerequisite: go to thrift store, go to store, have money —— Causes: you have to wear clothe, you will be naked, you get naked.",0
a0769cd4-45a0-492c-a566-b14b9b17cba6-c,"Ivy wanted a cell phone like all her friends. —— HasPrerequisite: have friend, find them, find friend —— Causes: you feel lonely, you feel good, friendship.","She saved up her money from delivering papers. —— HasPrerequisite: write them down, read them, use computer —— Causes: get publish, you will be publish, you get publish.","Soon she had enough for a phone. —— HasPrerequisite: dial number, dial phone number, call friend —— Causes: dial number, call someone, call friend.","She went shopping and selected the perfect phone. —— HasPrerequisite: get phone number, use phone, have ear —— Causes: dial number, phone call, call her mother.","Amy spent all of her money on clothes. —— HasPrerequisite: go to thrift store, go to store, have money —— Causes: you have to wear clothe, you will be naked, you get naked.",1
b00c883d-782a-428a-be8d-1749a200575f-c,"Gina sat on her grandpa's bed staring outside. —— HasPrerequisite: put on pajama, put your foot up, have bed —— Causes: pillow to fall over, you can see her ass, pillow to fall.","It was winter and his garden was dead until spring. —— HasPrerequisite: water, plant garden, water and plant —— Causes: flower, flower to bloom, plant.","Her grandpa had passed away so there would be no one to tend it. —— HasPrerequisite: have it, get it, knowledge —— Causes: death, arthritis, sadness.","The weeds would take over and strangle the flowers. —— HasPrerequisite: get pruning tool, pick them, get shovel —— Causes: plant to die, plant wilt, fall plant.","Gina asked her grandpa what kind of flowers he liked best. —— HasPrerequisite: get flower, use your hand, use card —— Causes: you get flower, you feel good, you feel sad.",0
b00c883d-782a-428a-be8d-1749a200575f-c,"Gina sat on her grandpa's bed staring outside. —— HasPrerequisite: put on pajama, put your foot up, have bed —— Causes: pillow to fall over, you can see her ass, pillow to fall.","It was winter and his garden was dead until spring. —— HasPrerequisite: water, plant garden, water and plant —— Causes: flower, flower to bloom, plant.","Her grandpa had passed away so there would be no one to tend it. —— HasPrerequisite: have it, get it, knowledge —— Causes: death, arthritis, sadness.","The weeds would take over and strangle the flowers. —— HasPrerequisite: get pruning tool, pick them, get shovel —— Causes: plant to die, plant wilt, fall plant.","Gina asked her grandpa what kind of flowers he liked best. —— HasPrerequisite: get flower, use your hand, use card —— Causes: you get flower, you feel good, you feel sad.",1
34ddd737-0709-4fc7-b64b-6c43eaf9f48c-c,"I wanted to buy a video game console. —— HasPrerequisite: use computer, have computer, have tv —— Causes: play game, play game console, have fun.","I asked my parents, and they came up with an idea. —— HasPrerequisite: think, think about it, have idea —— Causes: they get answer, you answer them, you answer.","They said if I did my chores, I would be given money to save. —— HasPrerequisite: have money, use money, money —— Causes: happiness, poverty, you get rich.","I did my chores without being asked every week for a whole summer. —— HasPrerequisite: go to beach, take shower, go for swim —— Causes: get sunburn, sweat, i forget my name.","My parents gave me enough money to buy the console. —— HasPrerequisite: have someone to comfort you, hug, comfort —— Causes: child to cry, baby cry, cry.",1
34ddd737-0709-4fc7-b64b-6c43eaf9f48c-c,"I wanted to buy a video game console. —— HasPrerequisite: use computer, have computer, have tv —— Causes: play game, play game console, have fun.","I asked my parents, and they came up with an idea. —— HasPrerequisite: think, think about it, have idea —— Causes: they get answer, you answer them, you answer.","They said if I did my chores, I would be given money to save. —— HasPrerequisite: have money, use money, money —— Causes: happiness, poverty, you get rich.","I did my chores without being asked every week for a whole summer. —— HasPrerequisite: go to beach, take shower, go for swim —— Causes: get sunburn, sweat, i forget my name.","My parents gave me enough money to buy the console. —— HasPrerequisite: have someone to comfort you, hug, comfort —— Causes: child to cry, baby cry, cry.",0
d8079c78-7eda-4006-a7f5-993cc1456bcb-c,"Miles was a roofer. —— HasPrerequisite: get on highway, drive, car —— Causes: speed up, travel time, speed.","He loved his job and was very good at it. —— HasPrerequisite: be very careful, have tooth, have hair —— Causes: pain, happiness, joy.","However, one day he was not paying attention and fell off the roof. —— HasPrerequisite: get ladder, have roof, buy roof —— Causes: roof to fall down, roof to fall in, roof to be replace.","Luckily, he only broke his leg. —— HasPrerequisite: have leg, leg, leg surgery —— Causes: pain, amputation, injury.","Miles got up and walked away. —— HasPrerequisite: energy, get car, fuel —— Causes: you have to wait for bus, tire, you have to wait.",0
d8079c78-7eda-4006-a7f5-993cc1456bcb-c,"Miles was a roofer. —— HasPrerequisite: get on highway, drive, car —— Causes: speed up, travel time, speed.","He loved his job and was very good at it. —— HasPrerequisite: be very careful, have tooth, have hair —— Causes: pain, happiness, joy.","However, one day he was not paying attention and fell off the roof. —— HasPrerequisite: get ladder, have roof, buy roof —— Causes: roof to fall down, roof to fall in, roof to be replace.","Luckily, he only broke his leg. —— HasPrerequisite: have leg, leg, leg surgery —— Causes: pain, amputation, injury.","Miles got up and walked away. —— HasPrerequisite: energy, get car, fuel —— Causes: you have to wait for bus, tire, you have to wait.",1
4d1e86d9-f613-47c4-848e-0e4b9fbe3dce-c,"His eyes burned with pain. —— HasPrerequisite: be in pain, use your eye, use your hand —— Causes: vision be blur, vision be blurry, they feel.","His stomach churned and twisted. —— HasPrerequisite: food, swallow, eat —— Causes: vomit, throw up, nausea.","His lungs were filled with fluid. —— HasPrerequisite: lung, breathe, oxygen —— Causes: death, heart attack, lung cancer.","Painful coughs rattled the halls of his small home. —— HasPrerequisite: use your throat, have lung, visit doctor —— Causes: pain, pain in your side, pain in throat.","He was near death for sure, he would be gone before night's end. —— HasPrerequisite: go to sleep, go to bed, get gun —— Causes: sadness, death, end.",1
4d1e86d9-f613-47c4-848e-0e4b9fbe3dce-c,"His eyes burned with pain. —— HasPrerequisite: be in pain, use your eye, use your hand —— Causes: vision be blur, vision be blurry, they feel.","His stomach churned and twisted. —— HasPrerequisite: food, swallow, eat —— Causes: vomit, throw up, nausea.","His lungs were filled with fluid. —— HasPrerequisite: lung, breathe, oxygen —— Causes: death, heart attack, lung cancer.","Painful coughs rattled the halls of his small home. —— HasPrerequisite: use your throat, have lung, visit doctor —— Causes: pain, pain in your side, pain in throat.","He was near death for sure, he would be gone before night's end. —— HasPrerequisite: go to sleep, go to bed, get gun —— Causes: sadness, death, end.",0
7ef8e330-87c0-45f1-a4ac-c51818a46ac5-c,"My friends got lunch and met up at the table. —— HasPrerequisite: table, sit down, get table —— Causes: they sit together, they sit down, spill coffee.","Ben was hungry and finished his lunch before everyone did. —— HasPrerequisite: food, prepare food, cook —— Causes: hunger, food to be eat, food to be serve.","He returned to the lunch line to buy more food. —— HasPrerequisite: food, find food, eat —— Causes: eat more food, eat it, hunger.","That didn't make him up. —— HasPrerequisite: be smart, go to work, have money —— Causes: you feel good, person to be sad, happy.","He decided to buy more lunch and then he felt sick. —— HasPrerequisite: food, go to store, eat some food —— Causes: eat more food, be hungry, indigestion.",1
7ef8e330-87c0-45f1-a4ac-c51818a46ac5-c,"My friends got lunch and met up at the table. —— HasPrerequisite: table, sit down, get table —— Causes: they sit together, they sit down, spill coffee.","Ben was hungry and finished his lunch before everyone did. —— HasPrerequisite: food, prepare food, cook —— Causes: hunger, food to be eat, food to be serve.","He returned to the lunch line to buy more food. —— HasPrerequisite: food, find food, eat —— Causes: eat more food, eat it, hunger.","That didn't make him up. —— HasPrerequisite: be smart, go to work, have money —— Causes: you feel good, person to be sad, happy.","He decided to buy more lunch and then he felt sick. —— HasPrerequisite: food, go to store, eat some food —— Causes: eat more food, be hungry, indigestion.",0
2a41a1bd-54d3-40cb-ba38-eba5e3c5c31c-c,"Today was my 1st grade field trip. —— HasPrerequisite: be at work, be in shape, time —— Causes: be late for work, be late for your appointment, be late.","My class went to the field in the back of the school. —— HasPrerequisite: go to school, go to class, be in class —— Causes: boredom, stress, learn.","Many students and faculty were resting on towels placed on the ground. —— HasPrerequisite: get down on your knee, get down on their knee, be careful —— Causes: fall down, injury, fatigue.","In addition, many sports took place. —— HasPrerequisite: competition, team, skill —— Causes: injury, competitiveness, competition.","I got a nice sun tan that day. —— HasPrerequisite: go outside, wear sunscreen, get tan —— Causes: sunburn, tan, i get tan.",1
2a41a1bd-54d3-40cb-ba38-eba5e3c5c31c-c,"Today was my 1st grade field trip. —— HasPrerequisite: be at work, be in shape, time —— Causes: be late for work, be late for your appointment, be late.","My class went to the field in the back of the school. —— HasPrerequisite: go to school, go to class, be in class —— Causes: boredom, stress, learn.","Many students and faculty were resting on towels placed on the ground. —— HasPrerequisite: get down on your knee, get down on their knee, be careful —— Causes: fall down, injury, fatigue.","In addition, many sports took place. —— HasPrerequisite: competition, team, skill —— Causes: injury, competitiveness, competition.","I got a nice sun tan that day. —— HasPrerequisite: go outside, wear sunscreen, get tan —— Causes: sunburn, tan, i get tan.",0
1257ebe1-6a10-49c0-bd35-28ca88e2baec-c,"Peter wished to show his daughter his favorite Christmas song. —— HasPrerequisite: have good aim, go to school, be smart —— Causes: you feel good, you feel happy, laughter.","He played her a video of the song. —— HasPrerequisite: listen to music, listen to song, talent —— Causes: happiness, joy, it be sing.","Next, he let her listen to the sound track. —— HasPrerequisite: ear, listen, hear —— Causes: music, headache, hear.","The last time he decided to sing her the song. —— HasPrerequisite: write it down, listen to it, write it —— Causes: sing it, happiness, sing.","Peter hated Christmas. —— HasPrerequisite: buy present, go to church, christmas shop —— Causes: depression, you get cold, sadness.",0
1257ebe1-6a10-49c0-bd35-28ca88e2baec-c,"Peter wished to show his daughter his favorite Christmas song. —— HasPrerequisite: have good aim, go to school, be smart —— Causes: you feel good, you feel happy, laughter.","He played her a video of the song. —— HasPrerequisite: listen to music, listen to song, talent —— Causes: happiness, joy, it be sing.","Next, he let her listen to the sound track. —— HasPrerequisite: ear, listen, hear —— Causes: music, headache, hear.","The last time he decided to sing her the song. —— HasPrerequisite: write it down, listen to it, write it —— Causes: sing it, happiness, sing.","Peter hated Christmas. —— HasPrerequisite: buy present, go to church, christmas shop —— Causes: depression, you get cold, sadness.",1
e347459b-dd6e-4b4e-afae-7bbb45964184-c,"Mary liked jumping rope. —— HasPrerequisite: have rope, practice, rope —— Causes: fun, get tire, fall.","She would do it all the time. —— HasPrerequisite: go to bathroom, go to bar, be smart —— Causes: you get hurt, you feel good, get hurt.","It kept her in good shape. —— HasPrerequisite: use lot of care, use lot of energy, use lot of oil —— Causes: it to look good, it to be good to eat, it to be nice.","She always had energy. —— HasPrerequisite: energy, exercise, work —— Causes: exercise, be happy, eat.","Mary lost her job because she didn't have any stamina. —— HasPrerequisite: practice lot, drink lot of alcohol, drink lot of booze —— Causes: fatigue, fall asleep, sleep.",0
e347459b-dd6e-4b4e-afae-7bbb45964184-c,"Mary liked jumping rope. —— HasPrerequisite: have rope, practice, rope —— Causes: fun, get tire, fall.","She would do it all the time. —— HasPrerequisite: go to bathroom, go to bar, be smart —— Causes: you get hurt, you feel good, get hurt.","It kept her in good shape. —— HasPrerequisite: use lot of care, use lot of energy, use lot of oil —— Causes: it to look good, it to be good to eat, it to be nice.","She always had energy. —— HasPrerequisite: energy, exercise, work —— Causes: exercise, be happy, eat.","Mary lost her job because she didn't have any stamina. —— HasPrerequisite: practice lot, drink lot of alcohol, drink lot of booze —— Causes: fatigue, fall asleep, sleep.",1
c2053646-85b1-41b4-8244-bfb1a2c21029-c,"Scott was hungry. —— HasPrerequisite: go to restaurant, food, go to store —— Causes: food, food to be eat, food to be cook.","He decided to cook dinner. —— HasPrerequisite: buy some food, make reservation, cook —— Causes: eat, eat dinner, you eat.","He cooked tacos. —— HasPrerequisite: buy salsa, have money, buy taco —— Causes: you eat taco, eat taco, you eat them.","He made enough to share with a friend. —— HasPrerequisite: make friend, go to bar, become popular —— Causes: you feel good about yourself, you feel good, be happy.","His friend loved the tacos that Scott cooked. —— HasPrerequisite: have good sense of humor, use your brain, be smart —— Causes: happiness, laughter, joy.",1
c2053646-85b1-41b4-8244-bfb1a2c21029-c,"Scott was hungry. —— HasPrerequisite: go to restaurant, food, go to store —— Causes: food, food to be eat, food to be cook.","He decided to cook dinner. —— HasPrerequisite: buy some food, make reservation, cook —— Causes: eat, eat dinner, you eat.","He cooked tacos. —— HasPrerequisite: buy salsa, have money, buy taco —— Causes: you eat taco, eat taco, you eat them.","He made enough to share with a friend. —— HasPrerequisite: make friend, go to bar, become popular —— Causes: you feel good about yourself, you feel good, be happy.","His friend loved the tacos that Scott cooked. —— HasPrerequisite: have good sense of humor, use your brain, be smart —— Causes: happiness, laughter, joy.",0
4970b8a1-f2b4-4cfd-85d0-0e93edbd86f7-c,"Beth and Carol went out for Chinese. —— HasPrerequisite: buy chinese food, have chinese food, money —— Causes: eat chinese food, indigestion, you get indigestion.","After dinner Beth opened up her fortune cookie. —— HasPrerequisite: open cookie jar, read fortune, have good hand —— Causes: happiness, get rich, you get rich.","Beth was anticipating good fortune for the rest of the week. —— HasPrerequisite: eat good food, read good book, good attitude —— Causes: good mood, good feel, happiness.","Beth called her later in the week to give her good news. —— HasPrerequisite: call her, call doctor, talk to someone —— Causes: happiness, joy, excitement.","Beth's dog had been hit by a car! —— HasPrerequisite: get dog, get leash, dog —— Causes: car to crash, it to crash, death.",0
4970b8a1-f2b4-4cfd-85d0-0e93edbd86f7-c,"Beth and Carol went out for Chinese. —— HasPrerequisite: buy chinese food, have chinese food, money —— Causes: eat chinese food, indigestion, you get indigestion.","After dinner Beth opened up her fortune cookie. —— HasPrerequisite: open cookie jar, read fortune, have good hand —— Causes: happiness, get rich, you get rich.","Beth was anticipating good fortune for the rest of the week. —— HasPrerequisite: eat good food, read good book, good attitude —— Causes: good mood, good feel, happiness.","Beth called her later in the week to give her good news. —— HasPrerequisite: call her, call doctor, talk to someone —— Causes: happiness, joy, excitement.","Beth's dog had been hit by a car! —— HasPrerequisite: get dog, get leash, dog —— Causes: car to crash, it to crash, death.",1
