text,emotionlist
George believed he could one day win the championship.,"[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
"George fought very hard, until his day finally came.","[u'anticipation', u'joy', u'trust', u'surprise']"
"George won his first title fight by knockout, and was very happy.","[u'joy', u'surprise']"
I saved some money during the last week of my summer break.,[]
I initially thought that it was more than enough to buy supplies.,"[u'anticipation', u'joy', u'trust']"
"However, my thoughts changed during the first week of school.","[u'surprise', u'fear', u'anticipation', u'sadness']"
My savings was $100 dollars.,"[u'joy', u'anticipation', u'surprise']"
"However, the price for my textbooks amounted to $400 dollars.","[u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Chebon was an all state football player in high school.,"[u'anticipation', u'joy', u'trust']"
He had high expectations to be great at football in college.,"[u'anticipation', u'joy', u'trust']"
He played one play and threw a touchdown pass.,"[u'joy', u'anticipation', u'surprise']"
He injured his knee and never played again.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
He is now a millionaire American Indian artist.,"[u'joy', u'anticipation', u'surprise']"
Tim was playing ball.,"[u'anticipation', u'joy', u'trust', u'surprise']"
He threw the ball in a shady part of the field.,[]
He was too scared to go.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
His friends called him chicken.,"[u'anger', u'fear', u'anticipation', u'sadness']"
Tim left the field and never went back.,"[u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
My mom makes very strange food sometimes.,[]
For dinner she made cupcakes with cat faces and licorice whiskers.,"[u'anticipation', u'joy', u'trust']"
We had to eat our spaghetti as our dessert.,[]
We had fun eating backwards.,"[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
My mom says we'll do a silly food day once a month.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'fear', u'trust']"
Billy was climbing the tree when he heard a crack.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Suddenly the branch gave way beneath him.,"[u'surprise', u'fear', u'anticipation']"
"He tried to steady his grip, but it was too late and he fell down.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
His mother quickly grabbed him and rushed him to the doctor.,"[u'anticipation', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
Billy was given a cast and vowed to stop his tree climbing that day.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
Manuel was having a difficult time paying his rent.,"[u'anger', u'fear', u'anticipation', u'sadness', u'disgust']"
He knew that he would be evicted if he didn't figure something out.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He then remembered that his friend was looking for a house.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
Manuel asked him to move in and be his roommate.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
His friend agreed and Manuel kept his house.,"[u'anticipation', u'joy', u'disgust', u'anger', u'fear', u'trust']"
Jerry had shut down a tree in his yard but he still had a stump.,"[u'anger', u'anticipation', u'disgust']"
He tried chopping at it but it still stuck up too far.,[u'anger']
So then tried a chainsaw and it still wasn't ground level.,"[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
Finally he found a stump grinding company and it was gone forever.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Jerry will not waste time removing stumps from now on.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Susie wanted her belly pierced.,"[u'joy', u'fear', u'anticipation']"
All her friends got it done.,"[u'anticipation', u'sadness', u'trust', u'surprise']"
So she went behind her mom's back to do it.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Her mom eventually found out.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Susie then was grounded.,"[u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Mike wanted to propose to Krissy.,"[u'anticipation', u'joy', u'fear', u'trust']"
He decided to take her out to a romantic dinner.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
He ordered fancy champagne and a steak dinner.,"[u'trust', u'joy', u'anticipation', u'surprise']"
At the end of the night he took out the ring and proposed.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Krissy said yes and now they are planning their wedding.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Michael wanted to have a daughter.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'trust']"
His wife wanted a son.,"[u'surprise', u'fear', u'sadness', u'joy']"
One day she found out she was pregnant.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Three months later she found out the sex of the baby.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Michael was having a daughter.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Sam was new at the office.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
He was asked to fax some papers.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The papers never arrived.,[]
When asked why Sam pointed to the shredder.,"[u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
He accidentally put the papers there instead of the fax.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Laurie was unemployed and Jessie decided to help her out.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
He gave her $1000 so she can catch up on her bills.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
"The next day, Laurie came to Jessie's house again.","[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
She wanted an extra $300 on a car payment.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"Since the payment was late, he declined giving her anything.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Tom was at his middle school dance.,"[u'anticipation', u'joy', u'disgust', u'surprise', u'fear', u'trust']"
He was dancing with friends.,"[u'anticipation', u'joy', u'trust']"
The music then changed to a slow song.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
A few friends partnered up and kept dancing.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Tom just went to get more punch.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
Sarah and her dog were going for a walk.,"[u'anticipation', u'joy', u'trust', u'surprise']"
They started out at a leisurely pace.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Sarah was looking away and did not see the bunny hop from the bush.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"The dog chased after the bunny, pulling Sarah along with the leash.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Sarah managed to control her dog before he pulled her into the bushes.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
My 19 year old niece broke up with her first boyfriend last month.,[]
He cheated on her while she was away in college.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
"She gave me a necklace he bought her,","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"I tried to sell it on eBay for her, but nobody bought it.","[u'fear', u'anticipation', u'sadness', u'disgust']"
I will keep posting it until it sells.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
I had a pet dog.,"[u'joy', u'trust', u'surprise']"
She was really old.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
She started getting cancer on her face.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I had to put her down.,[u'sadness']
Now my dog is dead.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The teacher handed some papers out to her students.,"[u'fear', u'anticipation']"
It was a new schedule.,[]
The kids wrote down the dates.,[]
They needed to know when their exams were.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
It would be a busy year!,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'trust']"
Jason has a physics test tomorrow.,"[u'anticipation', u'fear', u'trust', u'sadness']"
He has been studying all week.,"[u'anticipation', u'joy', u'fear', u'trust']"
He decided to pull an allnighter anyway.,"[u'trust', u'fear', u'anticipation', u'sadness']"
"When Jason got to school, he was tired.","[u'anger', u'fear', u'anticipation']"
"Luckily, his teacher postponed their test.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"When they got home, it was time to open gifts.",[]
It was the boy's 13th birthday.,"[u'anticipation', u'joy', u'trust', u'surprise']"
They gave him a new tv for his room.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
He said he couldn't wait to play games on it.,"[u'anticipation', u'joy', u'trust', u'surprise']"
He was very happy with his gifts.,"[u'anticipation', u'joy', u'trust']"
A man once sat down to write a story for his job.,"[u'joy', u'anticipation']"
He spent hours making the greatest story he ever imagined.,"[u'trust', u'joy', u'anticipation']"
When he was finished he tried to save his great work.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
"However, once he clicked the save icon the power surged.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
The story was lost and he could not remember what he wrote.,"[u'anger', u'surprise', u'sadness', u'disgust']"
Mary had been feeling depressed lately.,"[u'fear', u'sadness']"
She decided to go to a psychiatrist.,"[u'anticipation', u'surprise', u'sadness', u'trust', u'fear']"
Her psychiatrist diagnosed her with depression after seeing her.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'fear', u'trust']"
He prescribed an antidepressant for her.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
It eventually made her feel better again.,"[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
Terry was running out of food in his apartment.,"[u'anger', u'sadness', u'anticipation', u'fear', u'disgust']"
All he had left was some stray vegetables and some pasta.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
The choice of his meal was obvious.,"[u'joy', u'fear', u'anticipation']"
He combined all of the remaining vegetables into a pasta sauce.,"[u'anticipation', u'joy', u'trust', u'surprise']"
It turned out surprisingly tasty.,"[u'joy', u'anticipation', u'surprise']"
The man turned on his music.,"[u'anticipation', u'joy', u'trust', u'surprise']"
He wanted to hear the base.,"[u'trust', u'joy', u'anticipation']"
He turned up the volume.,"[u'trust', u'joy', u'anticipation']"
His neighbors knocked on the wall.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He turned the volume up even more.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise']"
Jeff is playing rugby.,"[u'anticipation', u'joy', u'trust']"
He is trying to make a score.,"[u'anticipation', u'joy', u'trust', u'surprise']"
He gets hit hard from behind.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
He falls to the ground in pain.,"[u'anger', u'fear', u'sadness', u'disgust']"
Jeff broke his ribs playing rugby.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
Today at work I was thinking about a bonfire.,"[u'trust', u'joy', u'anticipation']"
When I got home my husband approached me and hugged me.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
He told me that he's been thinking about a bonfire all day.,"[u'anticipation', u'joy', u'trust', u'surprise']"
We went to the store to get smore supplies.,"[u'anticipation', u'joy', u'trust', u'surprise']"
When we got home we made a bonfire and made smores.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Billie was a girl with a boy's name.,[]
She had always been made fun of because she had short hair.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Billie's dad made her get a haircut every month.,"[u'anger', u'sadness', u'anticipation', u'disgust']"
One day she told her dad about the bullying.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Billie's father felt so bad he never made her cut her hair again.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Kurt had to attend a late evening meeting at work.,"[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
"After dinner, he put on his suit and tie again.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
He drove to work in the dark.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Kurt sat quietly in the meeting.,"[u'anticipation', u'joy', u'trust', u'disgust']"
Kurt hoped the meeting would end soon so that he could go home to bed.,"[u'sadness', u'anticipation', u'disgust']"
Kenny walked into his new classroom.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
The teacher introduced him to the other classmates.,"[u'trust', u'joy', u'fear', u'anticipation']"
"However, one of the boys came up to Kenny.","[u'surprise', u'fear', u'anticipation']"
Kenny got bit on the arm by him.,"[u'anger', u'surprise', u'fear', u'disgust']"
They fought with each other using their fists.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Reno was a stray dog.,"[u'trust', u'joy', u'fear', u'anticipation', u'sadness']"
He was in a shelter for many months.,"[u'fear', u'anticipation', u'sadness']"
He didn't think he would find a family.,"[u'anger', u'fear', u'anticipation', u'sadness', u'disgust']"
One day a woman came to the shelter.,[]
She adopted Reno.,"[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
Eli was fighting against the local school board.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'fear', u'trust']"
He wanted his kids to be taught creationism in school.,"[u'anger', u'fear', u'anticipation', u'sadness', u'disgust']"
The school board relented after much debate.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"The next day, his kids returned from school with good news.","[u'trust', u'joy', u'anticipation', u'surprise']"
They had a class teaching the Hindu creation story.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise']"
Kate wanted to throw her mom a surprise party.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Planning was going well.,"[u'anticipation', u'joy', u'trust', u'surprise']"
But then Kate invited her little brother.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
He told her mom about the party!,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"Kate was so angry, she wanted to smack him.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Matt walked on to the bus looked for a seat.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
He could not find any open seat so he stood.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'trust']"
A person offered his seat to Matt if he gave him $20.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Matt told the person that he was being unfair.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
The person shrugged and ignored Matt for the rest of his ride.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
My sister in law Vera bought a dryer ten years ago.,"[u'joy', u'sadness', u'disgust']"
Her husband has yet to hook it up.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He is cheap and does not want to have to rewire the house.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Vera's therapist said hooking up the dryer would be therapeutic.,"[u'anticipation', u'joy', u'fear', u'trust']"
Vera's husband still is not hooking up the dryer.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Charles wanted to watch his favorite show on the television.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"When he sat down on the couch, he couldn't find the remote.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"Charles looked in the usual places the remote goes, but found nothing.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He eventually found the remote in between the couch cushions.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Charles turned on the television and watched the show on time.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Sara had taken a break from running.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear']"
She decided to start running again and enter a race.,"[u'anticipation', u'joy', u'trust']"
"During her training, she started gaining her stamina back.","[u'trust', u'joy', u'anticipation']"
Her timing got better and better.,"[u'anticipation', u'joy', u'trust']"
Sara was able to win her age division in her race.,"[u'trust', u'joy', u'anticipation', u'surprise']"
I ended up pulling out the carpet cleaner.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I tried to find the instructions but I must have thrown them away.,"[u'anger', u'fear', u'disgust']"
I looked up the directions online.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I tried using dish soap instead of commercial cleaner.,"[u'trust', u'surprise', u'anticipation', u'joy']"
It cleaned the carpets quite nicely.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Angus was an archer in a competition.,"[u'joy', u'fear', u'anticipation', u'surprise']"
He was in second place going into the final round.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
The bow he picked up to shoot with was from his father.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
He made three shots and they all were bull's-eyes.,"[u'joy', u'surprise']"
Angus took first place and the performance was never forgotten.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Andy felt sick while at work.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He started running fever.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He got queasy.,"[u'surprise', u'sadness', u'anticipation', u'disgust']"
He went to the doctor.,[u'disgust']
His diagnosis was the stomach flu and no work for a week!,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Brain is the varsity basketball coach for the boy's team.,"[u'anticipation', u'joy', u'trust']"
He loves his job but the team isn't very good.,"[u'joy', u'fear', u'anticipation', u'surprise']"
He gave them some drills to work on from his old college days.,"[u'anticipation', u'joy', u'fear', u'trust', u'sadness']"
He worked with them for half of the season on these drills.,"[u'anticipation', u'joy', u'trust']"
By the second half of the season the team looked much better.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Jenny's mom rushed her out of the bed.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Jenny was told to brush her teeth or else she can't eat.,"[u'anticipation', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Jenny took out her toothpaste and toothbrush to brush them.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Her mom was yelling from the kitchen.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
She said to hurry up since the breakfast was getting cold.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
David was going to sleep.,"[u'joy', u'anticipation']"
There was a light breeze outside.,[]
David decided to sleep with the windows open.,[u'joy']
It began to rain.,"[u'joy', u'trust', u'surprise']"
"When David woke up, his floors were soaked.","[u'anger', u'surprise', u'sadness', u'disgust']"
John wanted to play something new and different.,"[u'anticipation', u'joy', u'trust']"
A worker recommended a game to him.,"[u'anticipation', u'joy', u'trust', u'surprise']"
John bought it and tried it out.,"[u'anticipation', u'joy', u'trust', u'surprise']"
He played it for a few hours but never got into it.,"[u'surprise', u'sadness']"
He never took that employees advice again.,"[u'anger', u'surprise', u'disgust']"
Sadie was at lunch with her friends.,"[u'anticipation', u'joy', u'trust']"
"Suddenly, a boy approached their table.","[u'joy', u'fear', u'anticipation', u'surprise']"
He asked Sadie if she wanted to go out on a date.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
Her friends giggled and waited for her response.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
Sadie decided to say yes.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Lily's elderly aunt always wore a flowered bonnet on Easter.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Lily thought it would be funny to play a prank on her aunt.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
She stuck wildflowers and weeds all over a plain sun hat.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
Then she gave the hat to her aunt.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Happy tears welled in old eyes as Lily's aunt accepted the hat.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Amy and Beth were excited about going to the Sadie Hawkins dance.,"[u'trust', u'joy', u'anticipation']"
They went shopping together to buy matching outfits.,"[u'anticipation', u'joy', u'trust']"
They each bought shirts for themselves and their dates.,"[u'anticipation', u'joy', u'trust', u'surprise']"
They boys were upset when they saw the shirts.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
"They didn't mind dressing like their dates, but not like each other.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Gary saw photos online of his friend's party.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He felt angry since he never received an invite or heard about it.,"[u'anger', u'surprise', u'sadness', u'disgust']"
"At the party, someone was banging on the door.","[u'anger', u'surprise', u'fear', u'anticipation']"
Everyone became quiet and started to complain.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"When Gary's friend opened the door, he saw Gary with a shovel.","[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
Rick's friend was an executive with the Olympic Committee.,[]
He got Rick tickets to any event that he wanted to see.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Rick rode a bus to the Opening Ceremonies with many dignitaries.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Rick got to watch the track and field events from a suite.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"The closing ceremonies were great, but he was sad when they were over.","[u'joy', u'sadness', u'anticipation', u'surprise']"
Andy recently took a cruise to the Virgin Islands.,[]
Andy decided to book a scuba diving tour for the day.,"[u'trust', u'joy', u'fear', u'anticipation']"
Andy could not believe how clear the water was.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"In addition, Andy saw various fish and marine life that amazed him.","[u'joy', u'anticipation', u'surprise']"
Andy thoroughly enjoyed his Scuba Diving Adventure on island.,"[u'anticipation', u'joy', u'trust', u'disgust', u'surprise']"
Ash's writing instructor handed out a new assignment.,[]
The students were each told to write an essay saying what courage is.,"[u'trust', u'surprise', u'fear', u'anticipation', u'joy']"
The essays were to be no more than five pages long.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Max turned in a paper having written on it only the word this.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
Max got an A for having the best description of courage in the class.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
