,text,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
280,Amy and Beth were excited about going to the Sadie Hawkins dance.,0,1,0,0,1,0,0,1
281,They went shopping together to buy matching outfits.,0,1,0,0,1,0,0,1
282,They each bought shirts for themselves and their dates.,0,1,0,0,1,0,1,1
283,They boys were upset when they saw the shirts.,1,1,1,0,1,1,1,1
284,"They didn't mind dressing like their dates, but not like each other.",1,1,1,1,1,1,1,1
285,Gary saw photos online of his friend's party.,1,1,1,1,1,1,1,0
286,He felt angry since he never received an invite or heard about it.,1,0,1,0,0,1,1,0
287,"At the party, someone was banging on the door.",1,1,0,1,0,0,1,0
288,Everyone became quiet and started to complain.,1,1,1,1,0,1,1,0
289,"When Gary's friend opened the door, he saw Gary with a shovel.",1,0,1,1,0,1,1,0
290,Rick's friend was an executive with the Olympic Committee.,0,0,0,0,0,0,0,0
291,He got Rick tickets to any event that he wanted to see.,0,1,0,1,1,0,1,1
292,Rick rode a bus to the Opening Ceremonies with many dignitaries.,0,1,0,0,1,0,1,1
293,Rick got to watch the track and field events from a suite.,0,1,0,0,1,0,1,1
294,"The closing ceremonies were great, but he was sad when they were over.",0,1,0,0,1,1,1,0
295,Andy recently took a cruise to the Virgin Islands.,0,0,0,0,0,0,0,0
296,Andy decided to book a scuba diving tour for the day.,0,1,0,1,1,0,0,1
297,Andy could not believe how clear the water was.,0,1,0,0,1,0,1,1
298,"In addition, Andy saw various fish and marine life that amazed him.",0,1,0,0,1,0,1,0
299,Andy thoroughly enjoyed his Scuba Diving Adventure on island.,0,1,1,0,1,0,1,1
300,Ash's writing instructor handed out a new assignment.,0,0,0,0,0,0,0,0
301,The students were each told to write an essay saying what courage is.,0,1,0,1,1,0,1,1
302,The essays were to be no more than five pages long.,0,1,0,1,1,0,1,1
303,Max turned in a paper having written on it only the word this.,0,1,1,1,1,1,1,1
304,Max got an A for having the best description of courage in the class.,1,1,1,1,1,1,1,1
305,I was trying to find a place to park downtown.,1,1,1,1,0,1,1,0
306,Everything was taken except for one spot.,0,1,0,0,1,1,1,0
307,I was terrible at parallel parking but gave it a try.,1,1,1,1,1,1,1,1
308,Surprisingly enough I did a good job.,0,1,0,0,1,0,1,1
309,Now I'm more confident about it and do it more often.,0,1,0,0,1,0,1,1
310,It was summer and Amy had just finished 6th grade.,0,0,0,0,0,0,0,0
311,She felt like she was an adult so she made cup of coffee.,0,1,1,1,1,1,0,1
312,Her mother took the coffee from her because she was too young.,1,1,0,1,0,1,1,0
313,Amy was upset her mother was treating her like a kid.,1,0,1,0,0,1,1,0
314,"She stomped to her room, and slammed the door.",1,1,1,1,0,1,1,0
315,Anna had an essay to write for class.,1,1,1,1,0,1,0,0
316,She had to choose her own topic.,0,1,0,1,1,0,1,0
317,Finally she decided on marine life.,0,1,0,1,1,0,0,1
318,She wrote about the Great Barrier Reef.,0,1,0,0,1,0,1,0
319,She got a great grade on the essay!,0,1,0,0,1,0,1,0
320,Ivan walked through a park and found an old camera.,0,0,0,0,0,0,0,0
321,There were still 6 shots left on the roll.,0,1,0,0,1,0,1,1
322,Ivan took a few landscapes and some of himself.,0,1,0,0,1,0,1,0
323,He put the camera back where he found it.,0,1,0,0,1,0,0,1
324,Ivan thought the owner will enjoy his addition.,1,1,0,1,1,0,1,1
325,Jim was really hungry.,1,1,1,1,1,1,1,1
326,But he only wanted to eat pasta.,0,1,0,1,1,1,1,1
327,So he searched for an Italian restaurant.,1,1,1,1,1,1,1,1
328,But it was over 10 miles away.,1,1,1,1,0,1,1,0
329,"Halfway there, he decided to just get a hamburger.",1,0,1,0,0,1,0,0
330,I played the clarinet for a year.,0,1,0,0,1,0,0,1
331,One time I got to play during a football game.,0,1,0,0,1,0,1,1
332,We had the music attached to the instrument.,0,1,0,1,1,0,1,1
333,We played the same song for every touchdown.,0,0,0,0,1,0,1,1
334,It was a great way to support the team.,0,1,0,0,1,0,1,1
335,"Stacey was only twelve, but she wanted to earn money by babysitting.",0,1,0,0,1,0,1,1
336,Her parents decided to let her find work if she could be responsible.,0,1,0,1,1,0,1,1
337,She decided to show she was responsible by making dinner for them.,0,1,0,0,1,0,1,1
338,"Unfortunately, she burned the food and it nearly caught on fire!",1,0,1,1,0,1,1,0
339,Stacey's parents decided not to let her babysit yet.,1,1,1,1,0,1,1,0
340,Jim had two finals and a paper due tomorrow.,1,1,1,1,0,1,1,0
341,He planned his day carefully.,0,1,0,1,1,0,1,1
342,He stocked up on mountain dew and started to work.,0,1,0,1,1,0,0,1
343,He made progress on all three items.,0,0,0,0,1,0,0,1
344,He finally fell asleep two hours before his first final.,1,1,0,1,1,1,1,1
345,Steve woke up in the middle of the night in a panic.,0,0,0,1,0,0,1,0
346,There was a loud crack in the distance.,0,0,0,1,0,1,1,0
347,He could hear pellets of rain slamming into his roof.,0,1,0,1,0,0,1,0
348,"Hurriedly, Steve rushed to the TV and turned on the weather channel.",1,0,1,1,0,1,1,0
349,He breathed a sigh of relief as he saw the hurricane would end soon.,0,1,0,1,1,0,1,1
350,Franny and her family were attending the state fair for the weekend.,0,0,0,0,0,0,0,0
351,It would take several hours to get there.,1,1,1,0,1,1,0,0
352,They had entered several contests.,0,1,0,1,1,0,1,1
353,Along the way Franny wondered if they would win any ribbons.,0,1,0,1,1,0,1,1
354,They finally reached the fairgrounds in the early evening.,0,1,1,1,1,0,1,1
355,Joey prayed for snow so school would close for the day.,0,1,0,1,1,1,1,1
356,He was ecstatic when the weatherman said a blizzard was coming.,0,1,1,1,1,1,1,1
357,The blizzard hit and closed the school and roads.,0,0,0,0,1,0,1,0
358,Joey heard that several people had died in the snowstorm.,1,0,1,1,0,1,1,0
359,Joey felt guilty about praying for a snow day.,0,1,1,1,0,1,1,0
360,My son's teachers that year were Mrs Pope and Mrs Ray.,0,0,0,0,0,0,0,0
361,They were very sweet when we went to meet them.,0,1,0,0,1,0,0,1
362,"Over the year, they became very attached to my son.",0,1,0,1,1,0,0,1
363,They cried when we moved away.,1,1,1,1,1,1,1,1
364,They hugged him and promised to keep in touch with him always.,0,1,0,0,1,1,1,1
365,It was William's mom's birthday.,0,0,0,0,0,0,0,0
366,William drove to the store to buy her a gift.,0,1,0,0,1,0,1,1
367,He found a nice dvd player and bought it.,0,1,0,0,1,0,0,1
368,William gave his mother the gift after their dinner.,0,1,0,0,1,0,1,1
369,She was very happy and hugged her son.,0,1,0,0,1,0,1,1
370,Kay wanted to throw a dinner party.,0,1,0,0,1,0,0,1
371,Her husband agreed and invited their friends.,1,1,1,1,1,1,1,1
372,Kay made sure everything was perfect!,0,1,0,0,1,0,1,1
373,"The day after the party, all her friends called her.",0,1,0,0,1,0,1,1
374,They told her they had had a wonderful time!,0,0,0,0,1,0,1,1
375,Bess went wedding dress shopping.,0,0,0,0,0,0,0,0
376,She went to four different shops.,0,1,0,0,1,0,1,1
377,The first three had nothing.,1,0,1,0,0,1,1,0
378,The fourth had options.,1,1,1,1,1,1,1,0
379,Bess finally said yes to the dress.,1,1,1,1,1,1,1,1
380,Callie wanted a new computer that was inexpensive.,1,1,1,1,1,1,1,1
381,So she went to the store and bought a chromebook.,0,1,0,0,1,0,0,1
382,She really liked the way the chromebook looked and worked.,0,0,0,0,1,0,1,1
383,Until she discovered it didn't have microsoft windows installed.,1,1,1,1,0,1,1,1
384,She had no choice but to return it and get another computer.,1,1,1,1,0,1,1,0
385,Shannon was out of shampoo.,0,1,1,1,0,1,0,0
386,Her hair was so greasy!,1,0,1,0,0,0,0,0
387,She went to the store but forgot to buy it.,1,0,1,0,0,0,0,0
388,"Out of desperation, she used Mr Bubble.",1,0,0,0,1,1,1,0
389,Her hair smelled like bubble gum.,1,1,0,0,1,0,1,1
390,Carl went with a friend to the carnival.,0,1,0,0,1,0,1,1
391,"Together, they played a variety of games.",0,1,0,0,1,0,0,1
392,It wasn't long before they were worn out from all the activity.,0,0,0,0,1,0,0,1
393,"Because they were so tired, they decided to head home early.",1,1,1,1,0,1,0,0
394,"On the way back, they reveled in the fun time that they enjoyed.",0,1,0,0,1,0,1,1
395,Jill was expecting a baby.,0,1,0,1,1,0,0,1
396,"She wanted Jake, her husband, to be present at the delivery.",1,1,1,1,1,1,1,1
397,"Jake was hesitant, but he finally agreed to be at the delivery.",1,1,1,1,1,1,1,1
398,Jake was a proud to be there with Jill when his daughter was born.,0,1,0,1,1,0,1,1
399,Jake passed out when the doctor asked him to cut the cord.,1,1,1,1,1,1,1,1
400,Johnny wants to find a way to cool down on a hot day.,1,1,1,0,0,0,0,0
401,He decides to go for a swim at the lake nearby his house.,0,1,0,0,1,0,0,0
402,Johnny packs his swimming trunks and bikes to the lake.,0,1,0,1,1,0,0,1
403,He spends the whole day swimming there.,0,0,0,0,1,0,0,0
404,Johnny is glad he found a way to stay cool.,0,1,0,0,1,0,1,1
405,Bob and Jerry were coworkers at a tough job.,0,0,0,0,0,0,0,0
